184.   -3.537268 -12.8395  -0.0000215  -0.000022049
185.   -3.501506 -12.7794  -0.0000211  -0.000021800
186.   -3.466272 -12.7198  -0.0000207  -0.000021554
187.   -3.431556 -12.6607  -0.0000203  -0.000021311
188.   -3.397347 -12.6021  -0.0000199  -0.000021070
189.   -3.363637 -12.5440  -0.0000195  -0.000020833
190.   -3.330415 -12.4864  -0.0000192  -0.000020598
191.   -3.297673 -12.4293  -0.0000188  -0.000020366
192.   -3.265401 -12.3727  -0.0000185  -0.000020137
193.   -3.233591 -12.3165  -0.0000181  -0.000019910
194.   -3.202235 -12.2608  -0.0000178  -0.000019686
195.   -3.171323 -12.2055  -0.0000174  -0.000019465
196.   -3.140848 -12.1508  -0.0000171  -0.000019247
197.   -3.110801 -12.0964  -0.0000168  -0.000019031
198.   -3.081175 -12.0425  -0.0000165  -0.000018818
199.  -3.051962 -11.9891  -0.0000162  -0.000018608
200.   -3.023155 -11.9361  -0.0000159  -0.000018400
201.   -2.994747 -11.8835  -0.0000156  -0.000018195
202.  -2.966730 -11.8313  -0.0000153  -0.000017992
203.   -2.939096 -11.7796  -0.0000151  -0.000017792
204.   -2.911840 -11.7283  -0.0000148  -0.000017594
205.   -2.884954 -11.6774  -0.0000145  -0.000017399
206.   -2.858432 -11.6269  -0.0000143  -0.000017206
207.   -2.832268 -11.5768  -0.0000140  -0.000017016
208.   -2.806455 -11.5271  -0.0000138  -0.000016828
209.   -2.780987 -11.4778  -0.0000135  -0.000016643
210.   -2.755859 -11.4289  -0.0000133  -0.000016459
211.   -2.731064 -11.3804  -0.0000131  -0.000016279
212.   -2.706596 -11.3323  -0.0000128  -0.000016100
213.   -2.682450 -11.2846  -0.0000126  -0.000015924
214.   -2.658620 -11.2372  -0.0000124  -0.000015750
215.   -2.635102 -11.1902  -0.0000122  -0.000015578
216.   -2.611889 -11.1435  -0.0000120  -0.000015408
217.   -2.588976 -11.0973  -0.0000118  -0.000015241
218.   -2.566358 -11.0514  -0.0000116  -0.000015076
219.   -2.544032 -11.0058  -0.0000114  -0.000014912
220.   -2.521990 -10.9606  -0.0000112  -0.000014751
221.   -2.500230 -10.9157  -0.0000110  -0.000014592
222.   -2.478746 -10.8712  -0.0000108  -0.000014435
223.   -2.457533 -10.8270  -0.0000106  -0.000014280
224.   -2.436587 -10.7832  -0.0000105  -0.000014127
225.   -2.415904 -10.7397  -0.0000103  -0.000013976
226.   -2.395479 -10.6965  -0.0000101  -0.000013827
227.   -2.375309 -10.6537  -0.0000100  -0.000013680
228.   -2.355388 -10.6112  -9.8495547e-6 -0.000013534
229.   -2.335713 -10.5690  -9.6903914e-6 -0.000013391
230.   -2.316281 -10.5271  -9.5343798e-6 -0.000013249
231.   -2.297086 -10.4855  -9.3814465e-6 -0.000013109
232.   -2.278125 -10.4442  -9.2315201e-6 -0.000012971
233.   -2.259396 -10.4033  -9.0845311e-6 -0.000012835
234.   -2.240893 -10.3626  -8.9404119e-6 -0.000012701
235.   -2.222613 -10.3223  -8.7990966e-6  -0.000012568
236.   -2.204553 -10.2822  -8.6605211e-6 -0.000012437
237.   -2.186709 -10.2424  -8.5246230e-6 -0.000012307
238.   -2.169078 -10.2030  -8.3913411e-6  -0.000012179
